CM_1,CM_2,CM_3,CM_4,CM_5,SOP_1,SOP_2,SOP_3,SOP_4,SOP_5,SPP_1,SPP_2,SPP_3,SPP_4,SPP_5,DA_1,DA_2,DA_3,DA_4,DA_5,FNE_1,FNE_2,FNE_3,FNE_4,FNE_5,FOF_1,FOF_2,FOF_3,FOF_4,FOF_5,WS_1,WS_2,WS_3,WS_4,WS_5,PA_1,PA_2,PA_3,PA_4,PA_5
3,2,3,2,2,4,1,4,3,5,3,4,4,2,2,3,4,3,3,2,2,3,2,1,2,2,1,1,2,2,5,4,4,4,4,3,2,4,2,4
5,5,5,5,2,5,1,5,5,5,3,5,5,4,5,5,5,1,3,1,5,4,3,1,2,5,2,5,5,5,5,5,2,2,5,5,1,2,2,5
4,4,4,3,4,4,1,4,3,4,3,4,4,3,4,4,3,2,4,1,4,4,3,2,3,4,4,4,3,3,4,4,4,4,4,4,4,3,4,2
4,5,5,5,3,5,4,5,5,4,3,4,3,3,5,3,4,1,2,3,4,5,4,2,1,3,1,2,3,4,5,5,3,4,3,4,4,3,5,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1
4,2,5,4,4,5,4,3,5,3,3,4,2,3,3,5,5,5,5,1,4,2,4,1,2,3,4,4,2,1,4,5,5,4,2,4,4,3,1,1
5,4,4,3,2,4,3,4,4,4,3,4,2,3,4,2,4,2,4,2,4,4,3,1,1,4,1,1,2,2,4,3,4,4,4,2,2,2,1,1
5,2,3,5,2,5,3,5,4,4,3,3,4,4,5,4,5,2,5,4,4,3,3,2,3,4,2,2,4,4,4,4,4,4,4,4,3,4,1,5
4,3,3,3,2,4,3,4,4,5,3,4,3,4,3,4,5,2,3,3,4,4,4,3,2,3,3,2,4,3,4,4,4,4,4,4,4,4,4,4
4,3,4,3,2,3,3,4,4,3,3,1,1,1,2,2,3,1,3,1,1,3,3,3,2,2,3,1,3,2,5,5,3,5,4,3,2,3,3,4
3,1,3,1,2,4,3,4,5,4,4,4,4,3,3,2,5,2,2,2,1,1,1,1,1,1,1,2,2,1,4,5,5,5,5,3,2,2,1,4
3,2,3,2,3,2,2,2,2,2,3,3,2,3,3,3,2,3,2,3,3,2,3,2,3,3,2,3,2,3,2,2,3,2,3,2,2,2,2,2
2,2,2,2,2,4,3,3,2,3,3,4,4,3,3,2,3,2,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,4
4,2,3,4,3,5,4,3,4,4,3,4,4,3,3,3,5,2,3,2,4,3,2,2,2,3,3,4,3,3,5,5,4,4,4,2,3,3,3,4
4,2,3,2,2,3,3,2,3,2,3,4,3,3,3,4,4,3,2,3,2,2,2,3,2,3,3,3,2,3,4,5,5,5,4,4,4,3,1,3
4,4,5,4,3,5,4,4,4,3,4,5,5,3,4,4,5,2,4,1,2,4,4,2,2,4,3,4,3,3,2,5,4,5,5,4,4,5,5,5
3,2,4,2,2,5,3,4,5,4,3,5,3,2,3,5,5,4,4,3,4,4,3,2,3,2,2,3,3,4,4,5,3,4,5,4,4,3,3,4
3,2,2,1,1,3,1,4,4,4,2,2,2,2,2,3,3,2,3,3,2,2,2,1,2,2,2,3,3,3,4,5,4,4,5,3,4,3,1,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,4,4,2,5,2,4,4,4,3,4,2,2,3,3,3,3,2,2,2,3,2,2,2,3,2,3,2,2,4,4,4,4,4,2,3,3,2,3
5,5,4,3,2,5,4,3,2,4,4,4,2,3,2,3,4,2,2,2,3,2,2,2,2,2,2,1,1,1,5,5,5,5,5,3,2,2,1,2
4,3,4,2,3,4,2,4,4,4,4,4,4,5,4,4,5,4,4,3,4,4,4,2,2,4,2,2,3,4,5,3,3,3,3,4,5,5,5,4
4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,5,3,5,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,3,4
4,4,4,3,1,5,2,5,5,5,3,4,3,2,4,3,4,2,2,4,5,3,2,2,2,4,2,4,4,2,5,5,4,5,4,5,5,4,2,5
4,2,4,1,4,4,3,4,3,3,3,2,2,4,2,4,4,2,3,3,4,2,3,2,2,3,2,4,3,3,4,3,4,4,4,4,3,4,3,4
4,3,3,3,3,4,3,4,4,4,3,4,3,2,4,4,5,3,5,3,4,3,3,2,2,3,2,2,3,4,4,4,4,4,4,4,4,4,3,3
